"","JOURNAL","INDEX","ISSN","2013/2014","2012","2011","2010","2009","2008","ABBREV"
"1861","cell stress & chaperones","1721","1355-8145","2.537","2.484","3.013","3.162","2.167","2.238","cell stress chaperon"
"1862","cell structure and function","1722","0386-7196","2.35","1.647","2.292","3.265","2.568","2.152","cell struct funct"
"1863","cell transplantation","1725","0963-6897","3.57","4.422","-","6.204","5.126","5.251","cell transplant"
"1864","cells tissues organs","1727","1422-6405","2.138","1.961","2.203","2.302","3.322","2.376","cells tissues organs"
"1865","cellular & molecular biology letters","1705","1425-8153","1.782","1.953","1.505","1.455","1.127","1.454","cell mol biol lett"
"1866","cellular & molecular immunology","1707","1672-7681","4.185","3.419","2.992","2.026","2.765","-","cell mol immunol"
"1867","cellular and molecular bioengineering","1704","1865-5025","1.23","1.443","1.947","1.568","0.727","-","cell mol bioeng"
"1868","cellular and molecular biology","1706","0145-5680","0.691","0.812","0.975","0.833","1.176","1.333","cell mol biol"
"1869","cellular and molecular neurobiology","1709","0272-4340","2.201","2.293","1.969","2.423","2.107","2.55","cell mol neurobiol"
"1870","cellular immunology","1700","0008-8749","1.874","1.743","1.974","2.575","2.698","1.893","cell immunol"
"1871","cellular microbiology","1703","1462-5814","4.816","4.811","5.458","5.625","5.725","5.598","cell microbiol"
"1872","cellular oncology","1711","2211-3428","2.124","2.4","3.105","3.175","-","-","cell oncol"
"1873","cellular physiology and biochemistry","1712","1015-8987","3.55","3.415","2.857","3.585","3.563","3.246","cell physiol biochem"
"1874","cellular polymers","1713","0262-4893","0.6","0.312","0.355","0.314","0.727","0.567",""
"1875","cellular polymers","1713","0262-4893","0.6","0.312","0.355","0.314","0.727","0.567","cell polym"
"1876","cellular reprogramming","1717","2152-4971","2.345","2.744","2.286","","-","-","cell reprogram"
"1877","cellular signalling","1719","0898-6568","4.471","4.304","4.058","4.243","4.094","4.305","cell signal"
"1878","cellulose","1728","0969-0239","3.033","3.476","3.6","2.817","2.156","1.844","cellulose"
"1879","cellulose chemistry and technology","1692","0576-9787","0.833","0.825","0.55","0.292","0.32","0.262","cell chem technol"
"1880","cement & concrete composites","1730","0958-9465","2.76","2.523","2.421","1.527","1.839","1.312","cement concrete comp"
"1881","cement and concrete research","1731","0008-8846","3.848","3.112","2.781","2.187","2.376","1.549","cement concrete res"
"1882","cement wapno beton","1729","1425-8129","0.426","0.385","0.183","0.143","-","-","cem wapno beton"
"1883","centaurus","1743","0008-8994","0.286","0.5","-","-","-","-","centaurus"
"1884","central european journal of biology","1732","1895-104X","0.633","0.818","1","0.685","0.915","0.662","cent eur j biol"
"1885","central european journal of chemistry","1733","1895-1066","1.329","1.167","1.073","0.991","1.065","0.741","cent eur j chem"
"1886","central european journal of energetic materials","1734","1733-7178","1.925","1.327","-","-","-","-","cent eur j energ mat"
"1887","central european journal of geosciences","1735","2081-9900","0.432","0.506","-","-","-","-","cent eur j geosci"
"1888","central european journal of immunology","1736","1426-3912","0.358","0.378","0.317","0.451","-","-","cent eur j immunol"
"1889","central european journal of mathematics","1737","1895-1074","0.519","0.405","0.44","0.581","0.361","-","cent eur j math"
"1890","central european journal of medicine","1738","1895-1058","0.209","0.262","0.312","0.244","0.224","-","cent eur j med"
"1891","central european journal of operations research","1739","1435-246X","0.787","0.629","0.484","0.429","0.353","-","cent europ j oper re"
"1892","central european journal of operations research","1739","1435-246X","0.787","0.629","0.484","0.429","0.353","-","cent eur j oper res"
"1893","central european journal of physics","1740","1895-1082","1.077","0.905","0.909","0.691","0.728","0.448","cent eur j phys"
"1894","central european journal of public health","1741","1210-7778","0.798","-","-","-","-","-","cent eur j publ heal"
"1895","central european neurosurgery","1742","1868-4904","0.867","0.719","0.838","-","-","-","cent eur neurosurg"
"1896","cephalalgia","1744","0333-1024","4.121","3.485","3.43","4.265","3.464","3.686","cephalalgia"
"1897","ceramics-silikaty","1746","0862-5468","0.434","0.418","0.382","0.297","0.649","0.644","ceram-silikaty"
"1898","ceramics international","1745","0272-8842","2.086","1.789","1.751","1.471","1.686","1.369","ceram int"
"1899","cereal chemistry","1747","0009-0352","1.059","1.251","1.452","1.422","1.314","1.274","cereal chem"
"1900","cereal foods world","1748","0146-6283","0.591","0.64","0.691","1.068","0.642","0.935","cereal food world"
"1901","cereal research communications","1749","0133-3720","0.624","0.549","0.392","0.084","-","-","cereal res commun"
"1902","cerebellum","1751","1473-4222","2.864","2.595","3.207","3.288","3.28","3.847","cerebellum"
"1903","cerebral cortex","1750","1047-3211","8.305","6.828","6.544","6.844","6.979","5.907","cereb cortex"
"1904","cerebrovascular diseases","1752","1015-9770","3.698","2.814","2.723","2.987","3.535","3.041","cerebrovasc dis"
"1905","cerebrovascular diseases","1752","1015-9770","3.698","2.814","2.723","2.987","3.535","3.041",""
"1906","cerne","1753","0104-7760","0.36","0.215","0.283","0.238","0.266","-","cerne"
"1907","ceska a slovenska neurologie a neurochirurgie","1754","1210-7859","0.159","0.366","0.279","0.393","0.246","0.319","cesk slov neurol n"
"1908","cfi-ceramic forum international","1755","0173-9913","0.179","0.048","0.051","0.07","0.13","0.025","cfi-ceram forum int"
"1909","chalcogenide letters","1756","1584-8663","1.184","0.934","0.834","-","0.688","-","chalcogenide lett"
"1910","channels","1757","1933-6950","2.317","2.159","2.14","2.103","1.908","1.513","channels"
"1911","chaos","1759","1054-1500","1.761","2.188","2.076","2.081","1.795","2.152","chaos"
"1912","chaos solitons & fractals","1758","0960-0779","1.503","1.246","1.222","1.267","3.315","2.98","chaos soliton fract"
"1913","chelonian conservation and biology","1760","1071-8443","0.696","0.744","0.913","0.808","0.568","1.294","chelonian conserv bi"
"1914","chembiochem","1813","1439-4227","3.06","3.74","3.944","3.945","3.824","3.322","chembiochem"
"1915","chemcatchem","1814","1867-3880","5.044","5.181","5.207","3.345","","-","chemcatchem"
"1916","chemia analityczna","1761","0009-2223","-","-","0.52","0.428","0.702","0.564","chem anal-warsaw"
"1917","chemical & engineering news","1775","0009-2347","0.204","0.244","0.29","0.254","0.348","0.37","chem eng news"
"1918","chemical & pharmaceutical bulletin","1795","0009-2363","1.375","1.564","1.592","1.507","1.698","1.623","chem pharm bull"
"1919","chemical and biochemical engineering quarterly","1763","0352-9568","0.911","0.569","0.689","0.483","0.387","0.346","chem biochem eng q"
"1920","chemical and process engineering-inzynieria chemiczna i procesowa","1800","0208-6425","0.467","0.394","0.378","0.252","0.18","0.199","chem process eng-inz"
"1921","chemical biology & drug design","1765","1747-0277","2.507","2.469","2.282","2.527","2.473","2.375","chem biol drug des"
"1922","chemical communications","1769","1359-7345","6.718","6.378","6.169","5.787","5.504","5.34","chem commun"
"1923","chemical engineering","1774","0009-2460","0.356","0.284","0.136","0.167","0.122","0.088","chem eng-new york"
"1924","chemical engineering","1774","0009-2460","0.356","0.284","0.136","0.167","0.122","0.088","adv eng res"
"1925","chemical engineering & technology","1780","0930-7516","2.175","1.366","1.598","1.394","1.266","0.923","chem eng technol"
"1926","chemical engineering and processing","1776","0255-2701","1.959","1.95","1.924","1.729","1.742","1.518","chem eng process"
"1927","chemical engineering communications","1772","0098-6445","0.788","1.052","0.946","0.913","0.586","0.585","chem eng commun"
"1928","chemical engineering journal","1773","1385-8947","4.058","3.473","3.461","3.074","2.816","2.813","chem eng j"
"1929","chemical engineering progress","1777","0360-7275","0.632","0.712","0.652","0.732","0.515","0.408","chem eng prog"
"1930","chemical engineering research & design","1778","0263-8762","2.281","1.927","1.968","1.519","1.223","0.989","chem eng res des"
"1931","chemical engineering science","1779","0009-2509","2.613","2.386","2.431","2.379","2.136","1.884","chem eng sci"
"1932","chemical geology","1783","0009-2541","3.482","3.154","3.518","3.722","3.407","3.531","chem geol"
"1933","chemical industry & chemical engineering quarterly","1786","1451-9372","0.659","0.533","0.61","0.58","-","-","chem ind chem eng q"
"1934","chemical journal of chinese universities-chinese","1789","0251-0790","0.954","0.856","0.619","0.656","0.62","0.592","chem j chinese u"
"1935","chemical papers-chemicke zvesti","1794","0366-6352","1.193","0.879","1.096","0.754","0.791","0.758","chem pap-chem zvesti"
"1936","chemical physics","1799","0301-0104","2.028","1.957","1.896","2.017","2.277","1.961","chem phys"
"1937","chemical physics letters","1797","0009-2614","1.991","2.145","2.337","2.28","2.291","2.169","chem phys lett"
"1938","chemical record","1801","1527-8999","5.577","4.377","4.377","4.604","3.862","3.477","chem rec"
"1939","chemical research in chinese universities","1802","1005-9040","1.119","0.735","0.379","0.46","0.556","0.408","chem res chinese u"
"1940","chemical research in toxicology","1803","0893-228X","4.19","3.667","3.779","4.148","3.74","3.491","chem res toxicol"
"1941","chemical reviews","1804","0009-2665","45.661","41.298","40.197","33.033","35.957","23.592","chem rev"
"1942","chemical science","1805","2041-6520","8.601","8.314","7.525","","-","-","chem sci"
"1943","chemical senses","1806","0379-864X","3.278","3.222","2.599","2.327","3.031","3.041","chem senses"
"1944","chemical society reviews","1807","0306-0012","30.425","24.892","28.76","26.583","20.086","17.419","chem soc rev"
"1945","chemical speciation and bioavailability","1808","0954-2299","0.377","0.65","0.397","0.471","0.75","0.645","chem spec bioavailab"
"1946","chemical vapor deposition","1811","0948-1907","1.371","1.316","1.796","1.804","1.829","1.483","chem vapor depos"
"1947","chemicke listy","1791","0009-2770","0.196","0.453","0.529","0.62","0.717","0.593","chem listy"
"1948","chemico-biological interactions","1766","0009-2797","2.982","2.967","2.865","2.832","2.457","3.077","chem-biol interact"
"1949","chemie der erde-geochemistry","1781","0009-2819","1.397","1.351","1.447","1.525","1.261","1.139","chem erde-geochem"
"1950","chemie in unserer zeit","1810","0009-2851","0.364","0.519","0.517","0.609","0.355","0.279","chem unserer zeit"
"1951","chemie ingenieur technik","1788","0009-286X","0.661","0.698","0.589","0.347","0.517","0.315","chem-ing-tech"
"1952","chemija","1815","0235-7216","0.357","0.276","0.586","0.677","0.254","-","chemija"
"1953","chemistry-a european journal","1782","0947-6539","5.696","5.831","5.925","5.476","5.382","5.454","chem-eur j"
"1954","chemistry-an asian journal","1762","1861-4728","3.935","4.572","4.5","4.188","4.373","4.197","chem-asian j"
"1955","chemistry & biodiversity","1764","1612-1872","1.795","1.808","1.804","1.586","1.926","1.659","chem biodivers"
"1956","chemistry & biology","1767","1074-5521","6.586","6.157","5.829","5.838","6.523","5.603","chem biol"
"1957","chemistry & industry","1787","0009-3068","0.106","0.13","0.12","0.144","0.144","0.22","chem ind-london"
"1958","chemistry and ecology","1770","0275-7540","1.18","1.069","0.615","0.776","0.634","0.838","chem ecol"
"1959","chemistry and physics of carbon","1796","0069-3138","-","","","4.75","3.25","0","chem phys carbon"
"1960","chemistry and physics of lipids","1798","0009-3084","2.593","2.147","2.571","2.861","2.145","2.647","chem phys lipids"
"1961","chemistry and technology of fuels and oils","1809","0009-3092","0.141","0.116","0.128","0.053","0.097","0.127","chem tech fuels oil+"
"1962","chemistry central journal","1768","1752-153X","1.663","1.312","3.281","1.119","1.31","-","chem cent j"
"1963","chemistry education research and practice","1771","1109-4028","1.309","1.075","0.855","0.662","0.742","-","chem educ res pract"
"1964","chemistry letters","1790","0366-7022","1.3","1.594","1.587","1.4","1.46","1.478","chem lett"
"1965","chemistry of heterocyclic compounds","1784","0009-3122","0.698","0.634","0.725","0.512","0.7","-","chem heterocyc compd"
"1966","chemistry of heterocyclic compounds","1784","0009-3122","0.698","0.634","0.725","0.512","0.7","-","chem heterocycl com+"
"1967","chemistry of materials","1792","0897-4756","8.535","8.238","7.286","6.397","5.368","5.046","chem mater"
"1968","chemistry of natural compounds","1793","0009-3130","0.5","0.599","1.029","0.693","0.572","0.468","chem nat compd+"
"1969","chemistry of natural compounds","1793","0009-3130","0.5","0.599","1.029","0.693","0.572","0.468","chem nat compd"
"1970","chemistry world","1812","1473-7604","-","-","0.159","-","0.212","0.355","chem world-uk"
"1971","chemistryopen","1816","2191-1363","2.938","-","-","-","-","-","chemistryopen"
"1972","chemistryopen","1816","2191-1363","2.938","-","-","-","-","-","chemstryopen"
"1973","chemmedchem","1817","1860-7179","3.046","2.835","3.151","3.306","3.232","3.15","chemmedchem"
"1974","chemoecology","1818","0937-7409","1.963","1.945","1.556","1.608","1.474","1.446","chemoecology"
"1975","chemometrics and intelligent laboratory systems","1819","0169-7439","2.381","2.291","1.92","2.222","2.111","1.94","chemometr intell lab"
"1976","chemosensory perception","1820","1936-5802","1.365","1.317","1.643","1.091","1","0","chemosens percept"
"1977","chemosphere","1821","0045-6535","3.499","3.137","3.206","3.155","3.253","3.054","chemosphere"
"1978","chemotherapy","1822","0009-3157","1.554","2.066","1.816","2.108","2.028","1.515","chemotherapy"
"1979","chemphyschem","1823","1439-4235","3.36","3.349","3.412","3.339","3.453","3.636","chemphyschem"
"1980","chempluschem","1824","2192-6506","3.242","","-","-","-","-","chempluschem"
"1981","chemsuschem","1825","1864-5631","7.117","7.475","6.827","6.325","4.767","-","chemsuschem"
"1982","chest","1826","0012-3692","7.132","5.854","5.25","6.519","6.36","5.154","chest"
"1983","chiang mai journal of science","1827","0125-2526","0.418","0.516","0.473","0.34","-","-","chiang mai j sci"
"1984","child and adolescent mental health","1829","1475-357X","0.954","0.635","0.883","1.143","-","-","child adol ment h-uk"
"1985","child care health and development","1830","0305-1862","1.832","1.7","1.201","1.308","1.137","1.154","child care hlth dev"
"1986","child neuropsychology","1832","0929-7049","2.181","2.243","1.797","1.727","1.812","1.935","child neuropsychol"
"1987","childs nervous system","1831","0256-7040","1.163","1.241","1.542","1.314","1.214","1.351","child nerv syst"
"1988","chilean journal of agricultural research","1828","0718-5839","0.538","0.553","-","-","-","-","chil j agr res"
"1989","chimia","1834","0009-4293","1.091","1.045","1.212","1.146","1.577","1.283","chimia"
"1990","chimica oggi-chemistry today","1833","0392-839X","0.45","0.539","0.593","0.405","-","-","chim oggi"
"1991","china agricultural economic review","1840","1756-137X","0.54","0.476","-","0.167","-","-","china agric econ rev"
"1992","china agricultural economic review","1840","1756-137X","0.54","0.476","-","0.167","-","-","china agr econ rev"
"1993","china communications","1841","1673-5447","0.42","0.464","0.146","0.058","0.118","-","china commun"
"1994","china foundry","1842","1672-6421","0.341","0.346","0.278","0.204","0.159","-","china foundry"
"1995","china ocean engineering","1843","0890-5487","0.407","0.4","0.468","0.302","0.26","0.43","china ocean eng"
"1996","china petroleum processing & petrochemical technology","1845","1008-6234","0.248","0.083","0.12","0.088","0.07","-","china pet process pe"
"1997","chinese annals of mathematics series b","1846","0252-9599","0.316","0.504","0.521","0.452","0.356","0.443","chinese ann math b"
"1998","chinese chemical letters","1847","1001-8417","1.178","1.21","0.978","0.775","0.643","0.488","chinese chem lett"
"1999","chinese geographical science","1848","1002-0063","0.727","0.5","0.5","0.656","0.426","-","chinese geogr sci"
"2000","chinese journal of aeronautics","1849","1000-9361","0.689","0.438","0.406","0.301","0.294","-","chinese j aeronaut"
"2001","chinese journal of analytical chemistry","1850","0253-3820","0.7","0.769","0.941","0.798","0.79","0.633","chinese j anal chem"
"2002","chinese journal of astronomy and astrophysics","1851","1009-9271","-","-","-","0.849","0.888","0.689","chinese j astron ast"
"2003","chinese journal of cancer research","1852","1000-9604","0.932","0.448","0.182","0.252","0.198","-","chinese j cancer res"
"2004","chinese journal of cancer research","1852","1000-9604","0.932","0.448","0.182","0.252","0.198","-","chin j cancer res"
"2005","chinese journal of catalysis","1853","0253-9837","1.552","1.304","1.171","0.752","0.786","0.707","chinese j catal+"
"2006","chinese journal of catalysis","1853","0253-9837","1.552","1.304","1.171","0.752","0.786","0.707","chinese j catal"
"2007","chinese journal of chemical engineering","1854","1004-9541","0.872","0.92","0.826","0.901","0.693","0.572","chinese j chem eng"
"2008","chinese journal of chemical physics","1855","1674-0068","0.72","0.632","0.692","0.642","0.489","0.455","chin j chem phys"
"2009","chinese journal of chemical physics","1855","1674-0068","0.72","0.632","0.692","0.642","0.489","0.455","chinese j chem phys"
"2010","chinese journal of chemistry","1856","1001-604X","1.04","0.917","0.755","0.773","0.891","0.945","chinese j chem"
"2011","chinese journal of electronics","1857","1022-4653","0.325","0.265","0.147","0.135","0.156","0.148","chinese j electron"
"2012","chinese journal of geophysics-chinese edition","1858","0001-5733","0.626","0.667","0.72","0.832","0.844","0.639","chinese j geophys-ch"
"2013","chinese journal of inorganic chemistry","1859","1001-4861","0.742","0.72","0.628","0.67","0.606","0.532","chinese j inorg chem"
"2014","chinese journal of inorganic chemistry","1859","1001-4861","0.742","0.72","0.628","0.67","0.606","0.532","chin j inorg chem"
"2015","chinese journal of integrative medicine","1835","1672-0415","1.401","1.059","0.799","0.578","0.42","-","chin j integr med"
"2016","chinese journal of mechanical engineering","1836","1000-9345","0.454","0.263","0.208","0.194","-","-","chin j mech eng"
"2017","chinese journal of mechanical engineering","1836","1000-9345","0.454","0.263","0.208","0.194","-","-","chin j mech eng-en"
"2018","chinese journal of oceanology and limnology","1837","0254-4059","0.684","0.577","0.498","0.325","-","-","chin j oceanol limn"
"2019","chinese journal of organic chemistry","1860","0253-2786","0.858","0.741","0.608","0.555","2.019","0.662","chinese j org chem"
"2020","chinese journal of physics","1861","0577-9073","0.431","0.477","0.448","0.444","0.515","0.27","chinese j phys"
"2021","chinese journal of physiology","1862","0304-4920","1.275","0.748","0.558","0.683","0.698","0.655","chinese j physiol"
"2022","chinese journal of polymer science","1863","0256-7679","1.42","1.27","0.919","0.478","0.526","0.644","chinese j polym sci"
"2023","chinese journal of structural chemistry","1864","0254-5861","0.477","0.405","0.44","0.624","0.544","0.643","chin j struct chem"
"2024","chinese journal of structural chemistry","1864","0254-5861","0.477","0.405","0.44","0.624","0.544","0.643","chinese j struc chem"
"2025","chinese medical journal","1865","0366-6999","1.016","0.901","0.864","0.983","0.952","0.858","chinese med j-peking"
"2026","chinese medicine","1838","1749-8546","2.343","-","-","-","-","-","chin med-uk"
"2027","chinese optics letters","1839","1671-7694","1.073","0.968","0.967","0.692","0.804","-","chin opt lett"
"2028","chinese physics","1869","1009-1963","-","-","-","-","1.343","1.68","chinese phys"
"2029","chinese physics b","1866","1674-1056","1.392","1.148","1.376","1.63","1.293","0","chinese phys b"
"2030","chinese physics c","1867","1674-1137","0.819","0.338","0.272","0.266","0.251","0","chinese phys c"
"2031","chinese physics letters","1868","0256-307X","0.924","0.811","0.731","1.077","0.972","0.743","chinese phys lett"
"2032","chinese science bulletin","1870","1001-6538","1.365","1.319","1.321","1.087","0.898","0.683","chinese sci bull"
"2033","chirality","1873","0899-0042","1.724","1.718","2.35","2.892","2.677","2.212","chirality"
"2034","chirurg","1874","0009-4722","0.516","0.517","0.703","0.657","0.601","0.623","chirurg"
"2035","chirurgie de la main","1872","1297-3203","0.251","0.301","0.529","0.365","0.314","-","chir main"
"2036","chirurgische gastroenterologie","1871","0177-9990","-","-","-","0.048","0.143","0.071","chir gastroenterol"
"2037","chromatographia","1876","0009-5893","1.37","1.437","1.195","1.075","1.098","1.312","chromatographia"
"2038","chromosoma","1877","0009-5915","3.26","3.34","3.847","4.196","4.979","5.111","chromosoma"
"2039","chromosome research","1878","0967-3849","2.688","2.847","3.087","3.13","3.23","3.405","chromosome res"
"2040","chronic diseases and injuries in canada","1879","1925-6523","1.222","0.684","","-","-","-","chron dis inj can"
"2041","chronic diseases in canada","1881","0228-8699","1.6","1.212","0.979","1.094","-","-","chronic dis can"
"2042","chronic respiratory disease","1880","1479-9723","2.308","-","-","-","-","-","chron resp dis"
"2043","chronobiology international","1882","0742-0528","2.878","4.35","4.028","5.576","3.987","3.495","chronobiol int"
"2044","ciencia e agrotecnologia","1883","1413-7054","0.726","0.395","0.531","0.567","0.448","-","cienc agrotec"
"2045","ciencia e investigacion agraria","1885","0718-1620","0.283","0.31","-","-","-","-","cienc investig agrar"
"2046","ciencia e tecnica vitivinicola","1889","0254-0223","0.1","0.278","0.263","0.636","0.3","-","cienc tec vitivinic"
"2047","ciencia e tecnologia de alimentos","1890","0101-2061","0.412","0.326","0.221","0.266","0.276","-","ciencia tecnol alime"
"2048","ciencia florestal","1884","0103-9954","0.244","0.286","0.24","0.191","0.128","0.103","cienc florest"
"2049","ciencia rural","1887","0103-8478","0.401","0.383","0.434","0.343","-","-","cienc rural"
"2050","ciencias marinas","1886","0185-3880","0.624","0.609","0.452","0.618","0.655","1.038","cienc mar"
"2051","cin-computers informatics nursing","1891","1538-2931","0.812","0.816","0.831","0.957","0.953","0.968","cin-comput inform nu"
"2052","circuit world","1903","0305-6120","0.595","0.683","0.444","0.404","0.5","0.464","circuit world"
"2053","circuits systems and signal processing","1902","0278-081X","1.264","0.982","0.817","0.752","0.794","0.396","circ syst signal pr"
"2054","circulation","1904","0009-7322","14.948","15.202","14.739","14.429","14.816","14.595","circulation"
"2055","circulation-arrhythmia and electrophysiology","1894","1941-3149","5.417","5.947","6.462","4.78","3.4","-","circ-arrhythmia elec"
"2056","circulation-cardiovascular genetics","1895","1942-3268","5.337","6.728","6.105","4.043","-","-","circ-cardiovasc gene"
"2057","circulation-cardiovascular imaging","1896","1941-9651","6.752","5.795","5.941","4.757","1.783","-","circ-cardiovasc imag"
"2058","circulation-cardiovascular interventions","1897","1941-7640","6.982","6.543","6.058","4.364","-","-","circ-cardiovasc inte"
"2059","circulation-cardiovascular quality and outcomes","1898","1941-7705","5.04","5.658","4.906","-","-","-","circ-cardiovasc qual"
"2060","circulation-heart failure","1899","1941-3289","5.945","6.684","6.286","4.315","3.433","-","circ-heart fail"
"2061","circulation journal","1900","1346-9843","3.685","3.578","3.766","3.225","2.692","2.387","circ j"
"2062","circulation research","1901","0009-7330","11.089","11.861","9.489","9.504","9.214","9.989","circ res"
"2063","cirp annals-manufacturing technology","1905","0007-8506","2.541","2.251","1.708","1.684","1.603","1.123","cirp ann-manuf techn"
"2064","cirugia espanola","1893","0009-739X","0.89","0.871","0.874","-","-","-","cir espan"
"2065","cirugia y cirujanos","1892","0009-7411","0.322","0.316","0.138","0.133","0.182","-","cir cir"
"2066","civil engineering","1907","0885-7024","0.167","0.079","0.176","0.162","0.08","0.151","civil eng"
"2067","civil engineering and environmental systems","1906","1028-6608","0.725","0.477","0.562","0.595","0.5","0.425","civ eng environ syst"
"2068","cladistics-the international journal of the willi hennig society","1909","0748-3007","6.091","5.043","5.25","6.74","4.929","3.515","cladistics"
"2069","classical and quantum gravity","1910","0264-9381","3.103","3.562","3.32","3.098","3.029","3.035","classical quant grav"
"2070","clay minerals","1912","0009-8558","0.756","1.069","1.053","1.341","0.964","0.5","clay miner"
"2071","clays and clay minerals","1911","0009-8604","1.398","1.114","1.162","1.631","1.431","1.171","clay clay miner"
"2072","clean-soil air water","1913","1863-0650","1.838","2.046","2.177","1.502","1.412","1.145","clean-soil air water"
"2073","clean technologies and environmental policy","1914","1618-954X","1.671","1.827","1.753","1.12","1.016","-","clean technol envir"
"2074","cleft palate-craniofacial journal","1915","1545-1569","1.106","1.238","0.822","-","-","-","cleft palate-cran j"
"2075","cleveland clinic journal of medicine","1916","0891-1150","3.37","3.4","3.773","3.495","2.149","1.969","clev clin j med"
"2076","climacteric","1920","1369-7137","2.244","1.961","1.986","1.938","2.568","2.145","climacteric"
"2077","climate dynamics","1917","0930-7575","4.619","4.231","4.602","3.843","3.917","4.046","clim dynam"
"2078","climate of the past","1918","1814-9324","3.482","3.556","3.509","2.821","3.826","2.542","clim past"
"2079","climate research","1919","0936-577X","2.707","2.684","1.994","2.11","2.25","1.725","clim res"
"2080","climate research","1919","0936-577X","2.707","2.684","1.994","2.11","2.25","1.725","climate res"
"2081","climatic change","1921","0165-0009","4.622","3.634","3.385","3.016","3.635","3.202","climatic change"
"2082","clinica chimica acta","1933","0009-8981","2.764","2.85","2.535","2.388","2.535","2.96","clin chim acta"
"2083","clinica terapeutica","2018","0009-9074","0.329","0.328","0.266","0.257","-","0.35","clin ter"
"2084","clinical & developmental immunology","1936","1740-2522","2.934","3.064","1.838","2.263","3","1.647","clin dev immunol"
"2085","clinical & experimental metastasis","1947","0262-0898","3.725","3.46","3.524","4.113","3.91","2.905","clin exp metastas"
"2086","clinical & translational oncology","2021","1699-048X","1.6","1.276","1.327","1.254","1.146","-","clin transl oncol"
"2087","clinical anatomy","1922","0897-3806","1.159","1.159","1.289","1.348","1.084","0.778","clin anat"
"2088","clinical and applied thrombosis-hemostasis","1923","1076-0296","1.575","1.016","1.332","1.476","1.351","1.421","clin appl thromb-hem"
"2089","clinical and experimental allergy","1942","0954-7894","4.324","4.789","5.032","4.195","4.084","3.556","clin exp allergy"
"2090","clinical and experimental dermatology","1943","0307-6938","1.234","1.329","1.198","1.267","1.55","1.779","clin exp dermatol"
"2091","clinical and experimental hypertension","1944","1064-1963","1.456","1.276","1.074","1.142","1.292","1.079","clin exp hypertens"
"2092","clinical and experimental immunology","1945","0009-9104","3.278","3.409","3.36","3.134","3.009","2.853","clin exp immunol"
"2093","clinical and experimental medicine","1946","1591-8890","2.824","2.397","2","1.6","1.581","1.965","clin exp med"
"2094","clinical and experimental nephrology","1948","1342-1751","1.708","1.246","1.369","1.46","-","-","clin exp nephrol"
"2095","clinical and experimental obstetrics & gynecology","1949","0390-6663","0.357","0.379","0.429","0.433","0.45","-","clin exp obstet gyn"
"2096","clinical and experimental ophthalmology","1950","1442-6404","1.953","1.964","1.977","1.766","1.755","1.347","clin exp ophthalmol"
"2097","clinical and experimental optometry","1951","0816-4622","1.256","0.916","1.047","1.156","1.236","1.031","clin exp optom"
"2098","clinical and experimental otorhinolaryngology","1952","1976-8710","0.835","0.877","0.915","0.728","0.075","-","clin exp otorhinolar"
"2099","clinical and experimental pharmacology and physiology","1953","1440-1681","2.405","2.16","1.851","1.96","1.936","2.196","clin exp pharmacol p"
"2100","clinical and experimental rheumatology","1954","0392-856X","2.973","2.655","2.148","2.358","2.396","2.364","clin exp rheumatol"
"2101","clinical and investigative medicine","1966","0147-958X","0.971","1.085","1.167","1.097","1.149","0.905","clin invest med"
"2102","clinical and laboratory haematology","1971","0141-9854","-","-","-","-","-","1.304","clin lab haematol"
"2103","clinical and vaccine immunology","2024","1556-6811","2.37","2.598","2.546","2.471","2.373","2.237","clin vaccine immunol"
"2104","clinical autonomic research","1924","0959-9851","1.864","1.478","1.299","1.333","1.278","1.517","clin auton res"
"2105","clinical biochemistry","1925","0009-9120","2.229","2.45","2.076","2.043","2.019","1.926","clin biochem"
"2106","clinical biomechanics","1926","0268-0033","1.88","1.869","2.071","2.036","1.759","2","clin biomech"
"2107","clinical breast cancer","1927","1526-8209","2.628","2.422","2.375","2.79","2.065","2.427","clin breast cancer"
"2108","clinical cancer research","1928","1078-0432","8.193","7.837","7.742","7.338","6.747","6.488","clin cancer res"
"2109","clinical cardiology","1929","0160-9289","2.225","1.834","2.151","1.807","1.602","1.211","clin cardiol"
"2110","clinical chemistry","1931","0009-9147","7.768","7.149","7.905","6.886","6.263","5.579","clin chem"
"2111","clinical chemistry and laboratory medicine","1930","1434-6621","2.955","3.009","2.15","2.069","1.886","1.888","clin chem lab med"
"2112","clinical colorectal cancer","1934","1533-0028","2.907","1.8","1.676","2.632","1.764","2.724","clin colorectal canc"
"2113","clinical drug investigation","1937","1173-2563","1.704","1.915","1.822","1.622","1.414","1.301","clin drug invest"
"2114","clinical dysmorphology","1938","0962-8827","0.416","0.378","0.543","0.58","0.468","0.521","clin dysmorphol"
"2115","clinical eeg and neuroscience","1939","1550-0594","3.157","1.818","1.725","1.325","1.122","1.151","clin eeg neurosci"
"2116","clinical endocrinology","1940","0300-0664","3.353","3.396","3.168","3.323","3.201","3.398","clin endocrinol"
"2117","clinical epigenetics","1941","1868-7083","6.219","-","-","-","-","-","clin epigenetics"
"2118","clinical gastroenterology and hepatology","1955","1542-3565","6.534","6.648","5.627","5.286","5.642","6.068","clin gastroenterol h"
"2119","clinical genetics","1956","0009-9163","3.652","3.944","3.128","2.942","3.304","3.206","clin genet"
