"","JOURNAL","INDEX","ISSN","2013/2014","2012","2011","2010","2009","2008","ABBREV"
"61","acs combinatorial science","53","2156-8952","3.401","3.636","","-","-","-","acs comb sci"
"62","acs macro letters","54","2161-1653","5.242","","-","-","-","-","acs macro lett"
"63","acs medicinal chemistry letters","55","1948-5875","3.073","3.311","3.355","","-","-","acs med chem lett"
"64","acs nano","56","1936-0851","12.033","12.062","10.774","9.855","7.493","5.472","acs nano"
"65","acs sustainable chemistry & engineering","57","2168-0485","-","-","-","-","-","-","acs sustain chem eng"
"66","acs synthetic biology","58","2161-5063","3.951","","-","-","-","-","acs synth biol"
"67","acsms health & fitness journal","59","1091-5397","0.268","0.298","0.404","0.292","0.392","0.353","acsms health fit j"
"68","acta acustica united with acustica","60","1610-1928","0.679","0.714","0.569","0.552","0.637","0.538","acta acust united ac"
"69","acta adriatica","61","0001-5113","0.483","0.356","0.5","0.4","0.459","-","acta adriat"
"70","acta agriculturae scandinavica section a-animal science","62","0906-4702","0.273","0.607","0.729","0.484","0.393","0.489","acta agr scand a-an"
"71","acta agriculturae scandinavica section b-soil and plant science","63","0906-4710","0.65","0.705","0.699","0.62","0.46","0.407","acta agr scand b-s p"
"72","acta alimentaria","64","0139-3006","0.427","0.475","0.444","0.379","0.505","0.441","acta aliment hung"
"73","acta anaesthesiologica scandinavica","65","0001-5172","2.31","2.355","2.188","2.196","2.26","1.953","acta anaesth scand"
"74","acta applicandae mathematicae","66","0167-8019","0.702","0.985","0.899","0.979","0.523","0.43","acta appl math"
"75","acta arithmetica","67","0065-1036","0.421","0.472","0.435","0.496","0.508","0.467","acta arith"
"76","acta astronautica","68","0094-5765","0.816","0.701","0.614","0.609","0.508","0.374","acta astronaut"
"77","acta astronomica","69","0001-5237","1.955","2.682","1.68","3.491","2.471","1.778","acta astronom"
"78","acta biochimica et biophysica sinica","70","1672-9145","2.089","1.807","1.376","1.547","1.482","1.086","acta bioch bioph sin"
"79","acta biochimica polonica","71","0001-527X","1.389","1.185","1.491","1.234","1.262","1.448","acta biochim pol"
"80","acta bioethica","73","1726-569X","0.06","0.061","-","-","-","-","acta bioeth"
"81","acta biologica cracoviensia series botanica","74","0001-5296","0.662","0.612","0.565","0.586","0.571","0.351","acta biol cracov bot"
"82","acta biologica hungarica","75","0236-5383","0.563","0.504","0.593","0.793","0.551","0.619","acta biol hung"
"83","acta biomaterialia","76","1742-7061","5.684","5.093","4.865","4.822","3.975","3.727","acta biomater"
"84","acta bioquimica clinica latinoamericana","77","0325-2957","-","0.093","0.075","-","-","0.044","acta bioquim clin l"
"85","acta biotheoretica","78","0001-5342","1.231","0.95","1.468","1.707","1.394","0.735","acta biotheor"
"86","acta botanica brasilica","79","0102-3306","0.553","0.374","0.462","0.368","-","-","acta bot bras"
"87","acta botanica croatica","80","0365-0588","0.449","0.435","0.702","0.386","-","-","acta bot croat"
"88","acta botanica gallica","81","1253-8078","0.235","0.31","0.383","0.298","0.064","0.145","acta bot gallica"
"89","acta botanica mexicana","82","0187-7151","0.629","0.305","0.204","0.146","0.229","-","acta bot mex"
"90","acta cardiologica","84","0001-5385","0.561","0.607","0.605","0.65","0.604","0.581","acta cardiol"
"91","acta cardiologica sinica","83","1011-6842","0.845","0.667","0.633","0.378","0.253","-","acta cardiol sin"
"92","acta carsologica","85","0583-6050","0.71","0.542","0.727","0.75","0.59","-","acta carsologica"
"93","acta chimica sinica","86","0567-7351","0.874","0.622","0.533","0.611","0.751","0.682","acta chim sinica"
"94","acta chimica slovenica","87","1318-0207","0.81","1.135","1.328","1.011","0.841","0.909","acta chim slov"
"95","acta chiropterologica","90","1508-1109","0.831","0.894","1.116","1.012","1","0.825","acta chiropterol"
"96","acta chirurgiae orthopaedicae et traumatologiae cechoslovaca","89","0001-5415","0.415","-","-","-","1.628","-","acta chir orthop tr"
"97","acta chirurgica belgica","88","0001-5458","0.44","0.359","0.432","0.352","0.424","0.474","acta chir belg"
"98","acta chromatographica","91","1233-2356","0.485","0.644","0.76","0.779","0.676","0.621","acta chromatogr"
"99","acta cirurgica brasileira","92","0102-8650","0.57","0.626","0.584","0.5","0.479","-","acta cir bras"
"100","acta clinica belgica","93","0001-5512","-","0.589","0.592","0.532","1.194","1.282","acta clin belg"
"101","acta clinica croatica","94","0353-9466","0.421","0.28","0.254","0.384","0.188","-","acta clin croat"
"102","acta crystallographica section a","95","0108-7673","2.069","2.244","2.076","54.333","49.926","2.051","acta crystallogr a"
"103","acta crystallographica section b-structural science","96","0108-7681","2.095","2.175","2.286","1.829","1.801","2.341","acta crystallogr b"
"104","acta crystallographica section c-crystal structure communications","97","0108-2701","0.535","0.492","0.518","0.745","0.782","0.561","acta crystallogr c"
"105","acta crystallographica section d-biological crystallography","98","0907-4449","7.232","14.103","12.619","6.326","2.257","2.943","acta crystallogr d"
"106","acta crystallographica section e-structure reports online","99","1600-5368","-","-","0.347","0.413","0.411","0.367","acta crystallogr e"
"107","acta crystallographica section f-structural biology and crystallization communications","100","1744-3091","0.568","0.552","0.506","0.563","0.551","0.606","acta crystallogr f"
"108","acta cytologica","101","0001-5547","1.562","0.693","0.488","0.647","0.69","0.835","acta cytol"
